X13A1 X13A2 X13A3 IC39A1 IC39A2 IC39A3 genenames
235 166 167 104 116 120 LINC00339
61 46 45 39 48 33 NA
1293 1057 1168 1345 1564 1561 CDC42
35 23 22 34 39 30 NA
346 301 414 327 402 460 WNT4
23 23 28 32 43 45 NA
8 9 8 18 37 41 NA
2347 2216 2310 2778 3129 3649 ZBTB40
4192 3424 3558 7043 8540 9678 EPHB2
34 29 15 46 66 58 NA
18502 15677 17403 10678 12099 12985 KDM1A
65 55 62 42 43 46 NA
4271 3630 3924 2468 2557 2883 LUZP1
59 45 56 47 69 61 NA
371 358 333 24 33 22 HTR1D
1192 1000 926 822 1000 1038 NA
208 145 150 136 159 146 NA
24035 21342 24424 14713 16097 16559 HNRNPR
1585 1325 1525 2404 2773 2845 ZNF436
464 368 377 131 156 164 ZNF436-AS1
53 52 52 92 75 98 TCEA3
2550 1930 2130 2274 2691 2935 ASAP3
962 964 1002 1199 1573 1671 E2F2
316 330 332 1843 2805 2830 ID3
47840 40747 48250 12780 15961 16654 RPL11
367 229 273 186 214 193 ELOA-AS1
2319 2013 2404 2078 2320 2583 ELOA
2215 1867 2143 1225 1489 1554 PITHD1
1126 1017 1155 655 860 927 LYPLA2
657 637 724 522 647 704 GALE
1056 886 815 413 474 540 HMGCL
143 154 153 184 182 214 FUCA1
12401 10223 12811 6298 6700 7039 PNRC2
10168 9026 10394 9371 9863 10253 SRSF10
512 371 421 251 289 323 STPG1
463 346 394 346 330 443 NIPAL3
65 62 71 592 681 760 RCAN3
8506 7253 8357 5148 5781 6211 SRRM1
42 43 41 45 49 44 NA
19463 17360 20477 9468 9904 9851 CLIC4
2291 2067 2360 883 1038 1049 SYF2
287 167 212 137 143 152 NA
2688 2149 2518 2083 2453 2542 RSRP1
51 43 42 24 27 34 NA
99 82 90 62 84 73 RHD
3211 2903 3177 1997 2269 2271 TMEM50A
1957 1698 1843 1984 2318 2405 MACO1
633 533 585 223 316 368 LDLRAP1
496 417 445 217 290 324 MAN1C1
5369 4614 4949 2855 4117 4801 SELENON
49 43 34 32 32 32 NA
1146 1010 972 858 1007 1045 MTFR1L
603 620 725 334 374 396 AUNIP
48 32 38 22 28 47 NA
289 234 260 134 172 181 PAQR7
30161 27052 31554 28801 30939 32227 STMN1
18 19 10 51 38 35 NA
618 515 535 385 423 530 PAFAH2
106 107 104 27 31 55 EXTL1
1802 1599 1943 1428 1456 1523 PDIK1L
63 53 69 45 65 87 CNKSR1
2310 2058 2247 1276 1506 1541 CEP85
1000 960 1037 703 1050 1234 SH3BGRL3
1022 907 988 898 1159 1246 UBXN11
128 104 103 11 19 16 CRYBG2
34185 29663 33195 673 800 853 LIN28A
209 189 227 206 201 233 LOC124903883
1657 1510 1538 1249 1500 1608 DHDDS
29 31 34 37 36 49 RPL17P9
16599 16455 18160 14303 16215 14982 HMGN2
41 44 48 12 16 10 NA
643 611 648 353 417 391 RPS6KA1
48 49 53 37 43 59 NA
14974 13152 14360 11965 14783 16780 ARID1A
509 437 441 321 415 434 PIGV
1772 1492 1642 1058 1386 1518 ZDHHC18
1182 1026 1101 872 1016 1065 GPN2
113 106 115 85 112 82 NA
525 492 512 335 402 444 GPATCH3
2317 2295 2533 1907 2371 2735 NUDC
238 231 285 303 333 321 TRNP1
237 217 237 79 127 128 TENT5B
761 699 746 564 746 850 SLC9A1
2853 2305 2405 1906 2281 2647 WDTC1
25 22 19 42 41 29 NA
1034 812 919 634 893 929 TMEM222
166 126 133 39 76 78 SYTL1
269 274 237 128 155 180 MAP3K6
144 171 174 82 83 109 GPR3
6516 5339 5926 3539 4261 4449 WASF2
2384 2127 2236 1528 2076 2456 AHDC1
92 65 75 106 122 97 NA
226 174 215 70 110 103 IFI6
890 801 899 722 801 684 FAM76A
2024 1554 1846 1498 1593 1658 STX12
2920 2512 2901 1492 1834 1808 PPP1R8
151 119 133 57 87 83 THEMIS2
4030 3468 4007 1930 2267 2340 RPA2
314 315 336 285 367 385 XKR8
2967 2511 2810 2132 2379 2468 EYA3
5926 5570 6458 3764 4051 4355 DNAJC8
1086 896 1079 686 719 671 ATP5IF1
456 333 395 135 137 183 NA
1028 866 1032 306 489 519 SESN2
483 399 470 226 302 282 MED18
4548 3760 4287 3760 4578 4773 PHACTR4
31 24 22 51 56 72 NA
27 15 30 53 71 68 NA
2734 2404 2637 1939 2266 2331 RCC1
1178 1150 1275 440 490 535 SNHG3
4356 2909 3164 450 848 914 SNORA73B
21 13 27 40 68 47 NA
1269 956 1199 853 1021 1008 TRNAU1AP
446 398 494 271 336 319 SNHG12
1367 1092 1294 550 661 625 TAF12
115 89 87 85 103 91 RAB42
1237 991 1088 1313 1472 1644 GMEB1
6139 5343 6093 4261 4562 4721 YTHDF2
11689 9912 11261 9706 10728 11627 EPB41
37 20 26 48 60 54 LOC124903886
77 49 87 39 39 47 TMEM200B
6157 5210 5677 4507 5049 5312 SRSF4
847 674 772 465 545 557 MECR
931 696 774 336 430 532 PTPRU
10514 8573 9411 9157 11879 12950 SDC3
42 30 52 38 47 52 NA
11226 9473 10421 7623 8682 9329 PUM1
57 25 50 61 85 73 NA
54 34 48 47 59 62 NA
65 62 39 46 44 51 LOC107984935
1551 1427 1530 2478 3222 3458 NKAIN1
4297 3857 4339 2512 2936 3031 SNRNP40
86 72 91 77 53 59 NA
1299 1195 1325 863 1111 1146 ZCCHC17
509 392 446 364 399 463 FABP3
640 501 515 721 990 1101 SERINC2
57 50 41 47 55 55 NA
32 29 18 50 52 65 HCRTR1
1763 1441 1635 867 1167 1238 PEF1
75 54 56 25 40 36 NA
195 205 218 23 31 29 COL16A1
2050 1536 1650 1607 2271 2380 ADGRB2
68 62 51 2 1 5 SPOCD1
59 52 46 33 59 48 NA
10830 9272 10578 6757 7571 7958 PTP4A2
63 58 71 37 46 32 NA
15578 13575 15296 12675 14191 15354 KHDRBS1
94 64 77 120 142 120 NA
784 644 698 711 842 903 TMEM39B
5223 4300 4787 3618 4099 4347 KPNA6
5468 4945 5100 4187 4827 5367 TXLNA
505 380 473 313 366 456 CCDC28B
308 212 288 236 292 301 IQCC
152 127 114 137 165 191 DCDC2B
343 304 294 253 268 334 TMEM234
2960 2408 2820 1873 2188 2453 EIF3I
61 72 60 24 30 35 MTMR9LP
78 50 66 14 26 28 NA
86 45 68 20 35 36 FAM167B
4711 4075 4471 2761 3140 3283 HDAC1
21099 20326 22443 23582 29513 31648 MARCKSL1
55 39 35 34 41 33 LOC124903949
57 58 54 34 55 38 TSSK3
245 153 169 77 120 147 FAM229A
4746 3595 3772 2364 2737 2879 BSDC1
795 589 679 1019 1175 1210 ZBTB8B
654 548 621 571 592 625 ZBTB8A
1080 956 1119 758 852 819 ZBTB8OS
54 35 51 36 41 28 NA
17580 14601 16421 13031 13886 14837 RBBP4
2048 1786 1810 1188 1507 1716 NHSL3
3164 2974 3287 2666 3223 3312 YARS1
3143 2554 2728 2612 2928 2986 S100PBP
398 325 339 497 575 642 FNDC5
62 53 56 47 50 60 HPCA
739 727 829 514 636 737 RNF19B
5168 4469 4971 3237 3710 3850 AK2
436 335 405 285 362 389 AZIN2
37 23 43 33 40 25 NA
443 326 384 220 338 355 TRIM62
42 42 48 54 57 72 NA
2508 2271 2569 2335 3012 3388 ZNF362
97 73 98 136 128 135 NA
588 481 548 832 889 914 NA
5420 4479 5027 4196 5257 5740 PHC2
84 76 72 107 123 129 RN7SKP16
126 119 114 59 77 91 NA
1321 1073 1283 991 1177 1290 ZSCAN20
265 171 236 269 335 350 CSMD2
1158 928 1126 932 1195 1176 SMIM12
34 21 19 132 211 230 GJA4
136 130 120 181 296 358 DLGAP3
705 594 721 558 553 626 ZMYM6
3268 2740 3226 1775 1881 1885 ZMYM1
30427 30806 34748 28909 32050 34350 SFPQ
98 73 70 44 50 51 NA
9604 8630 9954 8626 9324 9773 ZMYM4
77 66 56 44 74 108 RPL5P4
36 27 47 32 28 44 ZMYM4-AS1
4766 3842 4445 3082 3610 3866 KIAA0319L
61 34 37 57 53 69 NA
793 693 778 803 1038 1133 NCDN
111 84 96 50 62 81 TFAP2E
5663 5379 5917 3577 4365 4419 PSMB2
473 450 468 529 620 659 C1orf216
3383 3187 3579 3885 4040 4236 CLSPN
3690 2949 3146 2677 2802 2998 AGO4
10303 8048 8930 12502 14087 15083 AGO1
75 45 58 76 94 84 NA
5097 3994 4406 3995 4506 4805 AGO3
465 378 460 312 385 403 TEKT2
863 729 779 510 693 701 ADPRS
1714 1397 1586 973 1168 1288 TRAPPC3
5698 4829 5482 3870 5149 6069 MAP7D1
16749 14998 16441 11331 12037 12995 THRAP3
758 552 664 283 375 456 SH3D21
2821 2613 2657 2381 2802 3316 STK40
751 616 624 292 380 397 LSM10
26 22 35 44 48 32 LOC124904013
356 287 360 291 329 361 OSCP1
1966 1774 2093 1181 1213 1386 MRPS15
166 105 145 190 198 227 GRIK3
265 212 234 57 72 72 ZC3H12A
4130 3523 4017 3216 3489 3693 MEAF6
74 72 51 58 57 78 MIR5581
1020 820 988 523 617 617 SNIP1
2479 1965 2251 1741 1954 2137 DNALI1
4074 3581 4224 2395 2696 2742 GNL2
64 90 64 843 1043 1239 RSPO1
1104 1077 1159 665 769 767 AIRIM
3417 3085 3356 1940 2232 2215 CDCA8
15 7 12 91 115 137 EPHA10
66 72 80 206 317 367 MANEAL
378 313 367 322 423 425 YRDC
951 821 938 513 758 766 C1orf122
1509 1391 1457 1161 1269 1483 MTF1
1374 1125 1259 804 996 892 INPP5B
5464 5027 5898 4076 4617 5014 SF3A3
571 548 549 223 264 320 FHL3
1874 1780 1925 1268 1369 1511 UTP11
106 77 83 21 32 22 MIR3659HG
337 296 317 103 134 156 POU3F1
447 436 436 433 465 451 RRAGC
95 89 91 77 111 110 RRAGC-DT
756 627 789 452 476 445 MYCBP
42 38 46 123 120 136 RHBDL2
5039 4431 5078 4126 4510 4812 AKIRIN1
5310 4717 5586 2181 2605 2889 NDUFS5
28494 24692 27192 37720 41198 45597 MACF1
23 18 26 47 56 54 NA
14 5 15 34 36 28 NA
35 22 27 50 60 60 BMP8A
73 46 78 120 127 161 PPIEL
4198 3788 4140 3128 3569 3969 PABPC4
74 50 57 47 79 61 PABPC4-AS1
225 135 137 194 190 280 HEYL
165 116 138 313 389 414 HPCAL4
3239 2565 2775 1435 1689 1636 PPIE
121 101 109 91 94 120 BMP8B
16 17 16 38 34 46 NA
2825 2305 2662 1548 1723 1750 TRIT1
56 25 52 38 56 58 NA
128 85 119 80 117 107 MYCL-AS1
2312 2027 2106 1304 1619 1740 MYCL
374 375 414 579 734 767 MFSD2A
29 31 16 43 54 50 NA
8776 7685 8840 5580 6333 6582 CAP1
5357 4970 5588 2390 2772 2792 PPT1
5582 4605 5512 2623 2932 3183 RLF
974 819 909 352 385 420 NA
1818 1885 2142 1969 2039 2236 ZMPSTE24
392 358 338 280 345 372 COL9A2
1098 1018 1118 1191 1359 1432 SMAP2
61 41 31 54 84 79 NA
740 667 713 594 718 718 ZFP69B
511 405 438 480 484 533 NA
64 34 48 31 30 38 NA
545 524 560 373 387 395 ZFP69
84 56 74 69 95 90 NA
221 155 177 169 189 218 EXO5
53 45 68 43 57 57 NA
414 347 379 236 272 246 ZNF684
3114 2404 2627 2378 2834 3176 RIMS3
378 318 362 156 201 236 NA
2590 2192 2499 1705 2047 2295 NFYC
160 157 172 33 76 72 KCNQ4
168 152 158 65 118 117 CITED4
4882 4515 4896 3385 3922 4006 CTPS1
243 199 261 169 226 201 SLFNL1-AS1
196 161 178 111 146 167 SLFNL1
3016 2459 2627 1461 1713 1802 SCMH1
38 35 44 52 62 69 FOXO6
208 169 215 341 410 472 HIVEP3
3750 3226 3462 2752 3003 3215 FOXJ3
34 32 39 48 37 61 NA
136 149 156 398 428 439 RIMKLA
49 41 44 13 20 14 ZMYND12
1227 1151 1278 639 748 728 PPCS
490 422 463 979 1066 1187 CCDC30
429 342 383 231 233 260 NA
619 508 566 328 412 405 PPIH
42601 38863 44409 28460 33940 36163 YBX1
